Fac1,Fac2,Frequency Fac1-Fac2 pair
dFac-1153599655,vcFac--2063666527,1
dFac--168404872,vcFac-1556990684,1
dFac-433728330,vcFac-1784339362,1
dFac-1075806150,vcFac-1223929260,1
dFac--2048293156,vcFac-1828845079,1
dFac--310744658,vcFac--366127121,1
dFac--288881666,vcFac-1935734788,1
dFac--288881666,vcFac-695577948,1
dFac--365676298,vcFac--1389275851,1
dFac--1881935443,vcFac--615803654,1
dFac--1881935443,vcFac-401358381,1
dFac-1509092893,vcFac--1181888648,1
dFac-1724672702,vcFac-401358381,1
dFac-1724672702,vcFac-1784339362,1
dFac-1724672702,vcFac-1085181026,1
dFac--2137511617,vcFac--2063666527,1
dFac--119676141,vcFac-1784339362,1
dFac-1025964299,vcFac-1824489553,1
dFac--749761777,vcFac--2114974063,1
dFac--2048293156,vcFac-695577948,1
dFac-433728330,vcFac-401358381,1
dFac--789423819,vcFac-1085181026,1
dFac--2119703341,vcFac--1781485739,1
dFac--867274298,vcFac--121473578,1
dFac--867274298,vcFac--1715326206,1
dFac--863181123,vcFac--1997742778,1
dFac--888969302,vcFac--383834165,1
dFac--321986338,vcFac-1085181026,1
dFac-549345021,vcFac-1828845079,1
dFac-549345021,vcFac-455232299,1
dFac--1518082898,vcFac--1564603035,1
dFac--283676396,vcFac--1165594343,1
dFac-478405991,vcFac--1781485739,1
dFac-1624693343,vcFac--366127121,1
dFac-1624693343,vcFac-1085181026,1
dFac--1080863330,vcFac-401358381,1
dFac--821943233,vcFac-1828845079,1
dFac-1558821181,vcFac-1784339362,1
dFac-240543501,vcFac--1165594343,1
dFac-60145176,vcFac--366127121,1
dFac-60145176,vcFac-347839723,1
dFac-60145176,vcFac-401358381,1
dFac-60145176,vcFac--1781485739,1
dFac-1033981013,vcFac--383834165,1
dFac-1033981013,vcFac--1181888648,1
dFac-1033981013,vcFac-1784339362,1
dFac-1033981013,vcFac--1389275851,1
dFac-780398251,vcFac--191488420,1
dFac--597770247,vcFac--1781485739,1
dFac--597770247,vcFac-1223929260,1
dFac-2028516838,vcFac--2114974063,1
dFac--1603367404,vcFac--1997742778,1
dFac--150230393,vcFac--1181888648,1
dFac-240543501,vcFac-347839723,1
dFac--94430883,vcFac-347839723,1
dFac-240543501,vcFac-1085181026,1
dFac--1502196576,vcFac--383834165,1
dFac-1839439316,vcFac--366127121,1
dFac--100341110,vcFac-1556990684,1
dFac-232242487,vcFac--121473578,1
dFac-232242487,vcFac--1715326206,1
dFac--799351857,vcFac--383834165,1
dFac-2142818191,vcFac--366127121,1
dFac--1451921350,vcFac-455232299,1
dFac--1451921350,vcFac-1935734788,1
dFac--39731720,vcFac--366127121,1
dFac--1098039010,vcFac-695577948,1
dFac-1344092778,vcFac--1208225242,1
dFac-1558821181,vcFac-1828845079,1
dFac--983658591,vcFac-1085181026,1
dFac--1973840035,vcFac--366127121,1
dFac--821943233,vcFac--1768011975,1
dFac--1708376620,vcFac-1828845079,1
dFac--821943233,vcFac--1781485739,1
dFac--821943233,vcFac-695577948,1
dFac-1602306588,vcFac--615803654,1
dFac--1598071448,vcFac-401358381,1
dFac-205690580,vcFac-401358381,1
dFac-1315922950,vcFac--1165594343,1
dFac-1315922950,vcFac--366127121,1
dFac--1285417630,vcFac--2063666527,1
dFac-1003697758,vcFac-401358381,1
dFac-1755782083,vcFac-695577948,1
dFac-1883061516,vcFac-1828845079,1
dFac-1883061516,vcFac--2114974063,1
dFac-1883061516,vcFac-695577948,1
dFac-1883061516,vcFac--1929785723,1
